"cluster_set","featset","focgene","subtype","min.node.size","splitrule","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"60_6","cds_compbias","HA","H10N8","5","gini",12,0.959261898579576,0.434033818299424,0.0083787494823989,0.128612300323846
"60_6","cds_compbias","HA","H10N8","25","gini",12,0.959256609253436,0.455604168243716,0.0101967690325092,0.137990692384542
"60_6","cds_compbias","HA","H10N8","45","gini",12,0.959256590019522,0.48816406728046,0.0122698298868998,0.147164119520193
"60_6","cds_compbias","HA","H16N3","5","gini",12,0.961422520989008,0.553533128131668,0.0104960501932759,0.127266755787755
"60_6","cds_compbias","HA","H16N3","25","gini",12,0.960695248261735,0.557656899081721,0.0119098438507342,0.129454883336655
"60_6","cds_compbias","HA","H16N3","45","gini",12,0.959973264860602,0.5581787358492,0.0105931226702018,0.117823571318773
"60_6","cds_compbias","HA","H3N8","5","gini",12,0.96106545922075,0.51043181664588,0.00980197395611666,0.132051301153533
"60_6","cds_compbias","HA","H3N8","25","gini",12,0.959572921907317,0.529814211982227,0.00674362147217115,0.0990254890054537
"60_6","cds_compbias","HA","H3N8","45","gini",12,0.959570126893622,0.545737624196471,0.00858140897742271,0.110353791063683
"60_6","cds_compbias","HA","H4N6","5","gini",12,0.957848978599222,0.508847761977478,0.00638575761559468,0.0959051013235208
"60_6","cds_compbias","HA","H4N6","25","gini",12,0.95472701848249,0.508725504572766,0.00806723681121641,0.0821805053297415
"60_6","cds_compbias","HA","H4N6","45","gini",12,0.95238326848249,0.506564759936018,0.0100961852759637,0.108885136635815
"60_6","cds_compbias","HA","H4N8","5","gini",12,0.964564270152505,0.59137838787246,0.0123521678662707,0.136186193445448
"60_6","cds_compbias","HA","H4N8","25","gini",12,0.960876906318083,0.564234541437195,0.0105292818248098,0.108012494951831
"60_6","cds_compbias","HA","H4N8","45","gini",12,0.958660130718954,0.548472997040799,0.00907322647324055,0.0996279654371194
"60_6","cds_compbias","HA","H5N1","5","gini",12,0.97271704766537,0.618147769290775,0.00913849028641464,0.132861593186226
"60_6","cds_compbias","HA","H5N1","25","gini",12,0.973495257782101,0.631886925430631,0.00889149227454344,0.131971384292973
"60_6","cds_compbias","HA","H5N1","45","gini",12,0.973495257782101,0.631886925430631,0.00889149227454344,0.131971384292973
"60_6","cds_compbias","HA","H5N6","5","gini",12,0.95812274368231,0.537082137959713,0.0134109571270806,0.147005374242661
"60_6","cds_compbias","HA","H5N6","25","gini",12,0.955956678700361,0.540311844065229,0.0158187020218098,0.154403043224424
"60_6","cds_compbias","HA","H5N6","45","gini",12,0.955956678700361,0.557606428842924,0.0160233509178138,0.158313287712987
"60_6","cds_compbias","HA","H7N3","5","gini",12,0.963815907693763,0.526046427480156,0.0129624460952377,0.173713252140636
"60_6","cds_compbias","HA","H7N3","25","gini",12,0.96382160375209,0.541764890712798,0.0111808999347368,0.150015499635856
"60_6","cds_compbias","HA","H7N3","45","gini",12,0.961551735255807,0.515605653345076,0.0147166042937931,0.189689473005829
"60_6","cds_compbias","HA","H7N4","5","gini",12,0.96398202737449,0.56372581119483,0.00669859677480212,0.0791405022175615
"60_6","cds_compbias","HA","H7N4","25","gini",12,0.96398202737449,0.58120725677794,0.00669859677480212,0.0928193424824693
"60_6","cds_compbias","HA","H7N4","45","gini",12,0.95965249461081,0.560919539940183,0.00471910279067031,0.0835288972665504
"60_6","cds_compbias","HA","H7N7","5","gini",12,0.96335095239668,0.532226278573773,0.013450678649549,0.135085438565709
"60_6","cds_compbias","HA","H7N7","25","gini",12,0.961885750931479,0.524430784133437,0.0152262268156736,0.141705688313369
"60_6","cds_compbias","HA","H7N7","45","gini",12,0.961153150198878,0.537090301806793,0.0154374311990557,0.117955913058035
"60_6","cds_compbias","HA","H7N9","5","gini",12,0.963645876359631,0.144765105016053,0.00410545423084408,0.0960493724935066
