"cluster_set","featset","focgene","subtype","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8","gini",5,12,0.949602558753998,0.657600747843646,0.0117023274686012,0.0490251900443552
"70_7","cds_compbias","HA","H10N8","gini",25,12,0.947247392574051,0.653558702193777,0.0118192777104017,0.0520765441105266
"70_7","cds_compbias","HA","H10N8","gini",45,12,0.94677457933528,0.659073586495983,0.0133664784062922,0.0630887548266655
"70_7","cds_compbias","HA","H16N3","gini",5,12,0.952720790105042,0.683007760245038,0.00987274478980026,0.056157977421999
"70_7","cds_compbias","HA","H16N3","gini",25,12,0.951298989157174,0.679994068948484,0.0111727537561085,0.0605562048140405
"70_7","cds_compbias","HA","H16N3","gini",45,12,0.950352236984159,0.676429282682047,0.0126374562860297,0.0620433301293975
"70_7","cds_compbias","HA","H3N8","gini",5,12,0.952090171233748,0.694164241453808,0.00507154850880445,0.0423788484939319
"70_7","cds_compbias","HA","H3N8","gini",25,12,0.949063684706002,0.683992700399674,0.0055025517455567,0.0395201551433292
"70_7","cds_compbias","HA","H3N8","gini",45,12,0.946539704348269,0.672859478369165,0.00705435185787223,0.0461457421456051
"70_7","cds_compbias","HA","H4N6","gini",5,12,0.95066136728985,0.684373987077452,0.0123736797890795,0.07080096390602
"70_7","cds_compbias","HA","H4N6","gini",25,12,0.949150032277255,0.684691090652059,0.0124806025799784,0.0668669596224938
"70_7","cds_compbias","HA","H4N6","gini",45,12,0.948146272926345,0.680798504356685,0.014033796190983,0.0720529927571898
"70_7","cds_compbias","HA","H4N8","gini",5,12,0.952673859702195,0.683943026822139,0.0121835416239174,0.067516765201079
"70_7","cds_compbias","HA","H4N8","gini",25,12,0.954094540239544,0.696677751637758,0.0103912900727838,0.0580197288504354
"70_7","cds_compbias","HA","H4N8","gini",45,12,0.951254299575364,0.682663701268329,0.00969696985999722,0.0523324402146538
"70_7","cds_compbias","HA","H5N1","gini",5,12,0.961904761904762,0.721356204792595,0.0123291968684199,0.0871160812461795
"70_7","cds_compbias","HA","H5N1","gini",25,12,0.960401002506266,0.715672316147426,0.0120717740138269,0.0785195570951764
"70_7","cds_compbias","HA","H5N1","gini",45,12,0.959398496240601,0.710101839240331,0.0123291968684199,0.0823810482763616
"70_7","cds_compbias","HA","H5N6","gini",5,12,0.951774059071848,0.676122476273094,0.00356718506766104,0.0252307224213115
"70_7","cds_compbias","HA","H5N6","gini",25,12,0.950354498945017,0.676585321070725,0.00728701396835971,0.0466755760355274
"70_7","cds_compbias","HA","H5N6","gini",45,12,0.950354498945017,0.680954173951943,0.008686530288369,0.0588345438687814
"70_7","cds_compbias","HA","H7N3","gini",5,12,0.952092145258744,0.674770619765959,0.0102210845199455,0.0631196782390973
"70_7","cds_compbias","HA","H7N3","gini",25,12,0.94959338593814,0.669079878329565,0.0126890328646838,0.0745445323103026
"70_7","cds_compbias","HA","H7N3","gini",45,12,0.945598367265915,0.648869582587279,0.0128326273772163,0.0701303381902418
"70_7","cds_compbias","HA","H7N4","gini",5,12,0.956487763392648,0.707886982159185,0.00998675488427973,0.0643243054323918
