"cluster_set","featset","focgene","subtype","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8",0,0.001,0.918039771937144,0.568050630943574,0.0184854979907176,0.0590625071001025
"70_7","cds_compbias","HA","H10N8",0,0.01,0.918039771937144,0.568050630943574,0.0184854979907176,0.0590625071001025
"70_7","cds_compbias","HA","H10N8",0,0.1,0.915209567514949,0.55836136292947,0.0177153385298411,0.0647815827129483
"70_7","cds_compbias","HA","H10N8",0,1,0.900137393964678,0.512557345263242,0.0185233545591476,0.0624312803584729
"70_7","cds_compbias","HA","H10N8",0,10,0.910974273397302,0.50866541762248,0.0126106283718089,0.0320218853473944
"70_7","cds_compbias","HA","H10N8",0.5,0.001,0.914745654290085,0.555006781774483,0.0175457777927842,0.0567054447234158
"70_7","cds_compbias","HA","H10N8",0.5,0.01,0.914745654290085,0.552653655927953,0.0207280878595262,0.0703003863426948
"70_7","cds_compbias","HA","H10N8",0.5,0.1,0.897791127798637,0.515059060392118,0.0229426716516473,0.0613171596247143
"70_7","cds_compbias","HA","H10N8",0.5,1,0.75583145598665,0,0.382876033433956,0
"70_7","cds_compbias","HA","H10N8",0.5,10,0.75583145598665,0,0.382876033433956,0
"70_7","cds_compbias","HA","H10N8",1,0.001,0.914738979279655,0.554789862273244,0.0171083513583126,0.0602542802688494
"70_7","cds_compbias","HA","H10N8",1,0.01,0.912392713113614,0.545313839189894,0.0216321488211572,0.0668004166219319
"70_7","cds_compbias","HA","H10N8",1,0.1,0.881762202753442,0.475073122385281,0.0241332109271765,0.063604080687985
"70_7","cds_compbias","HA","H10N8",1,1,0.75583145598665,0,0.382876033433956,0
"70_7","cds_compbias","HA","H10N8",1,10,0.75583145598665,0,0.382876033433956,0
"70_7","cds_compbias","HA","H16N3",0,0.001,0.917247409262074,0.574560462534954,0.015320050742377,0.0484810090006033
"70_7","cds_compbias","HA","H16N3",0,0.01,0.917247409262074,0.574560462534954,0.015320050742377,0.0484810090006033
"70_7","cds_compbias","HA","H16N3",0,0.1,0.915828969545762,0.568197844343581,0.0163426623997163,0.0571766111709675
"70_7","cds_compbias","HA","H16N3",0,1,0.898799813081702,0.513446159091452,0.0248316664222006,0.071354620038617
"70_7","cds_compbias","HA","H16N3",0,10,0.914883337783266,0.522085021314792,0.0147647701153069,0.0600091016148208
