"cluster_set","featset","focgene","subtype","cost","weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8",0.001,0.111111111111111,0.918983173411208,0.530681651030023,0.0173341700636067,0.0471154681797583
"70_7","cds_compbias","HA","H10N8",0.001,0.166666666666667,0.930759004310944,0.567403213656491,0.0085733430859626,0.0356213849613922
"70_7","cds_compbias","HA","H10N8",0.001,0.333333333333333,0.940177444027256,0.60310433911936,0.00319159957987852,0.0277085954163133
"70_7","cds_compbias","HA","H10N8",0.1,0.111111111111111,0.927458211653456,0.601035749317767,0.0170965681404823,0.062550991892185
"70_7","cds_compbias","HA","H10N8",0.1,0.166666666666667,0.930283966068697,0.605142169108243,0.0143908654513268,0.0598716136807496
"70_7","cds_compbias","HA","H10N8",0.1,0.333333333333333,0.934989848421638,0.605285206904345,0.0110496756289687,0.0516762429301533
"70_7","cds_compbias","HA","H10N8",1,0.111111111111111,0.917575858712279,0.568135320597664,0.0217920499770395,0.0651483485805297
"70_7","cds_compbias","HA","H10N8",1,0.166666666666667,0.928869976359338,0.600466045795826,0.0178173351403103,0.0719645601326295
"70_7","cds_compbias","HA","H10N8",1,0.333333333333333,0.934994298428591,0.613829100374885,0.0171941474291899,0.0784870124464915
"70_7","cds_compbias","HA","H10N8",10,0.111111111111111,0.914754554303991,0.548853059399652,0.0153975163963042,0.0400087945444261
"70_7","cds_compbias","HA","H10N8",10,0.166666666666667,0.923225142539285,0.569990439367721,0.0161630171209852,0.0529387010891846
"70_7","cds_compbias","HA","H10N8",10,0.333333333333333,0.933107495480462,0.597428178810354,0.0152478649771559,0.0590887708204674
"70_7","cds_compbias","HA","H16N3",0.001,0.111111111111111,0.924338492718072,0.55587299330992,0.0199303293405372,0.07642749336304
"70_7","cds_compbias","HA","H16N3",0.001,0.166666666666667,0.930013387848704,0.574517352755786,0.0173347458078929,0.0699704853421232
"70_7","cds_compbias","HA","H16N3",0.001,0.333333333333333,0.940422017419635,0.613242510255154,0.0117801850990556,0.0563795951684873
"70_7","cds_compbias","HA","H16N3",0.1,0.111111111111111,0.929540579894889,0.613915525405344,0.0147906500027596,0.0509129487972635
"70_7","cds_compbias","HA","H16N3",0.1,0.166666666666667,0.930488441908512,0.611964351245263,0.0146970087216467,0.0545193752783565
"70_7","cds_compbias","HA","H16N3",0.1,0.333333333333333,0.942783842792452,0.644216845303866,0.0168717858725727,0.0731715950855041
"70_7","cds_compbias","HA","H16N3",1,0.111111111111111,0.920091000587898,0.575585264602913,0.0133451317917562,0.0467427899540855
"70_7","cds_compbias","HA","H16N3",1,0.166666666666667,0.925761424646368,0.586284377279918,0.0119595956014377,0.0412192813692574
"70_7","cds_compbias","HA","H16N3",1,0.333333333333333,0.937587378808048,0.617904449383297,0.0089527531937299,0.0463694246251687
"70_7","cds_compbias","HA","H16N3",10,0.111111111111111,0.908260575354055,0.534377513165084,0.0213372717190796,0.0637170143299595
"70_7","cds_compbias","HA","H16N3",10,0.166666666666667,0.921982258827936,0.578410017938441,0.0177952124395806,0.0698835310886063
"70_7","cds_compbias","HA","H16N3",10,0.333333333333333,0.937111214907633,0.617818768111348,0.00850775942459574,0.0440224542718592
"70_7","cds_compbias","HA","H3N8",0.001,0.111111111111111,0.919322952446378,0.555019454563579,0.0122795550494374,0.0458157718896135
"70_7","cds_compbias","HA","H3N8",0.001,0.166666666666667,0.929906114037096,0.589190170551505,0.0118601033157015,0.0665840967268096
"70_7","cds_compbias","HA","H3N8",0.001,0.333333333333333,0.938480523115284,0.620514556800799,0.00744238195370524,0.0527655040173371
"70_7","cds_compbias","HA","H3N8",0.1,0.111111111111111,0.918811541103733,0.593106639255942,0.0117331200602316,0.0312833106503379
"70_7","cds_compbias","HA","H3N8",0.1,0.166666666666667,0.924872147164339,0.607906830798303,0.011385289846703,0.0415074622174182
"70_7","cds_compbias","HA","H3N8",0.1,0.333333333333333,0.935962903595145,0.631147155693667,0.00877713031631175,0.041348879908278
"70_7","cds_compbias","HA","H3N8",1,0.111111111111111,0.914782586571,0.572971741727509,0.00665609516513685,0.0313285820715794
"70_7","cds_compbias","HA","H3N8",1,0.166666666666667,0.922348166806605,0.591334837531539,0.00775266912770114,0.0330031045233284
"70_7","cds_compbias","HA","H3N8",1,0.333333333333333,0.932433910897387,0.615827121488485,0.00925873871535559,0.0328188160352679
"70_7","cds_compbias","HA","H3N8",10,0.111111111111111,0.913775029895937,0.563509976601771,0.0120700514548334,0.0459748740999946
"70_7","cds_compbias","HA","H3N8",10,0.166666666666667,0.923354451314149,0.59658686100634,0.0147246957909138,0.0555384717752786
"70_7","cds_compbias","HA","H3N8",10,0.333333333333333,0.930417525379742,0.606635905862083,0.0104117249271328,0.0345431915070102
"70_7","cds_compbias","HA","H4N6",0.001,0.111111111111111,0.906841512347632,0.519794960355327,0.0175785974031596,0.0592064887409995
"70_7","cds_compbias","HA","H4N6",0.001,0.166666666666667,0.924975000949331,0.564757523440377,0.00879580193448971,0.0434790487503701
"70_7","cds_compbias","HA","H4N6",0.001,0.333333333333333,0.937566927838183,0.613603456513299,0.00595462322095822,0.0385376607543752
"70_7","cds_compbias","HA","H4N6",0.1,0.111111111111111,0.922464969684695,0.603952993233703,0.0123177505924614,0.0568339070626282
