"cluster_set","featset","focgene","subtype","sigma","C","Weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8",0.001,1,3,0.940177444027256,0.60310433911936,0.00319159957987852,0.0277085954163133
"70_7","cds_compbias","HA","H10N8",0.001,1,9,0.921327214573773,0.58206537259856,0.0205420921516552,0.0831941806972446
"70_7","cds_compbias","HA","H10N8",0.001,3,3,0.934523710193297,0.598666974254431,0.0132656706896747,0.0442947601646998
"70_7","cds_compbias","HA","H10N8",0.001,3,9,0.926985398414685,0.601679422128277,0.0191386704081536,0.0735619205161039
"70_7","cds_compbias","HA","H10N8",0.001,9,3,0.935931024892226,0.614229052045754,0.0145963513806541,0.0688306178694112
"70_7","cds_compbias","HA","H10N8",0.001,9,9,0.930754554303991,0.618692099403486,0.0174374301080348,0.0660119991247432
"70_7","cds_compbias","HA","H10N8",0.01,1,3,0.941114170490891,0.635765614051186,0.0164204424641916,0.0853271908192449
"70_7","cds_compbias","HA","H10N8",0.01,1,9,0.932166319009873,0.621679346713585,0.0164479720340189,0.0672455018662502
"70_7","cds_compbias","HA","H10N8",0.01,3,3,0.949589208733139,0.674793244634227,0.014328960631298,0.0813173672886314
"70_7","cds_compbias","HA","H10N8",0.01,3,9,0.935937699902656,0.62945803624513,0.0183403366043571,0.0718528665308707
"70_7","cds_compbias","HA","H10N8",0.01,9,3,0.951951049923516,0.678335464730467,0.0124250843761409,0.0609763428982505
"70_7","cds_compbias","HA","H10N8",0.01,9,9,0.943946599916562,0.641814867240481,0.00887090741847452,0.037450563903313
"70_7","cds_compbias","HA","H10N8",0.1,1,3,0.953367264636351,0.6541278998833,0.00733244000652226,0.0398071663879679
"70_7","cds_compbias","HA","H10N8",0.1,1,9,0.94866138228341,0.628028201170649,0.00766664714196487,0.0383560941706897
"70_7","cds_compbias","HA","H10N8",0.1,3,3,0.953367264636351,0.645915821285683,0.00510715337047891,0.0433205604263712
"70_7","cds_compbias","HA","H10N8",0.1,3,9,0.949131970518704,0.624433340512388,0.00563043548410917,0.0407113982702134
"70_7","cds_compbias","HA","H10N8",0.1,9,3,0.953369489639828,0.630861888391462,0.00672368338741244,0.0478917467067139
"70_7","cds_compbias","HA","H10N8",0.1,9,9,0.948188569044639,0.605444079653737,0.00704010315343322,0.0571918543297755
"70_7","cds_compbias","HA","H16N3",0.001,1,3,0.941369884718214,0.616759079844697,0.0102349691456187,0.0526908650032823
"70_7","cds_compbias","HA","H16N3",0.001,1,9,0.923401824239722,0.586442316199017,0.0109370017863861,0.0440908345224155
"70_7","cds_compbias","HA","H16N3",0.001,3,3,0.938530759179597,0.621380971849716,0.0124276521988232,0.0545455732467642
"70_7","cds_compbias","HA","H16N3",0.001,3,9,0.930491797855111,0.614701768171857,0.0135798087037566,0.0552008356109056
"70_7","cds_compbias","HA","H16N3",0.001,9,3,0.941839342010384,0.640772329505039,0.0150394057051406,0.0689041647523772
"70_7","cds_compbias","HA","H16N3",0.001,9,9,0.934744886752921,0.635987809892293,0.0158746720108872,0.059129645019686
"70_7","cds_compbias","HA","H16N3",0.01,1,3,0.954135873874754,0.700407086441577,0.0112968500612767,0.063927474913192
"70_7","cds_compbias","HA","H16N3",0.01,1,9,0.935691633640981,0.634578912627233,0.0160233450064701,0.0603741443907456
"70_7","cds_compbias","HA","H16N3",0.01,3,3,0.956504416425726,0.716794261904223,0.0115107495147702,0.0667734404024158
"70_7","cds_compbias","HA","H16N3",0.01,3,9,0.942317752016792,0.649639094063595,0.0116451294411814,0.0592965520336165
"70_7","cds_compbias","HA","H16N3",0.01,9,3,0.952715209192271,0.69253368792836,0.0101910311089004,0.0617983249722468
"70_7","cds_compbias","HA","H16N3",0.01,9,9,0.946573092305549,0.661055118282279,0.00793662239195493,0.0536542580254961
"70_7","cds_compbias","HA","H16N3",0.1,1,3,0.958396805646193,0.705189946071901,0.00951657225574146,0.0697934539839312
"70_7","cds_compbias","HA","H16N3",0.1,1,9,0.955084866868806,0.68797627821452,0.00782184448151057,0.0553232224832477
"70_7","cds_compbias","HA","H16N3",0.1,3,3,0.956980601465962,0.687331036561972,0.0113526218852117,0.0900441316718963
"70_7","cds_compbias","HA","H16N3",0.1,3,9,0.953668662688575,0.669963767418502,0.00906258356582133,0.0736017548634504
"70_7","cds_compbias","HA","H16N3",0.1,9,3,0.95461877080819,0.656489206109848,0.00946315453127733,0.08224591895486
"70_7","cds_compbias","HA","H16N3",0.1,9,9,0.950834018792033,0.634663873172573,0.00605079240820082,0.0592113800193424
"70_7","cds_compbias","HA","H3N8",0.001,1,3,0.938480523115284,0.620514556800799,0.00744238195370524,0.0527655040173371
"70_7","cds_compbias","HA","H3N8",0.001,1,9,0.90923211968552,0.555727571366787,0.00849439122639859,0.0168242466267523
"70_7","cds_compbias","HA","H3N8",0.001,3,3,0.932433910897387,0.608874801356588,0.00854602901533369,0.0301130823456968
"70_7","cds_compbias","HA","H3N8",0.001,3,9,0.918311579268758,0.589296195806396,0.0110149126152213,0.0261681523703309
"70_7","cds_compbias","HA","H3N8",0.001,9,3,0.938488156120398,0.645377701797207,0.0102561100755189,0.0459822086823971
"70_7","cds_compbias","HA","H3N8",0.001,9,9,0.924873419331858,0.610694237485416,0.0137783424436827,0.0472571800212846
"70_7","cds_compbias","HA","H3N8",0.01,1,3,0.943020888990662,0.659779988868432,0.00675547964655542,0.0377024758659461
"70_7","cds_compbias","HA","H3N8",0.01,1,9,0.930918759382235,0.625262000488845,0.00571609761219136,0.026206452709393
"70_7","cds_compbias","HA","H3N8",0.01,3,3,0.946041014680813,0.673880136463402,0.00139553355742317,0.019182182869525
"70_7","cds_compbias","HA","H3N8",0.01,3,9,0.93897794061522,0.652674329304122,0.00336589177267631,0.0248604033264894
"70_7","cds_compbias","HA","H3N8",0.01,9,3,0.950076330051141,0.689271987689982,0.00545597039512385,0.0304418438372715
"70_7","cds_compbias","HA","H3N8",0.01,9,9,0.947047299188357,0.680074765073524,0.00620414591535261,0.0407834449248985
"70_7","cds_compbias","HA","H3N8",0.1,1,3,0.95763809378419,0.717027480144783,0.00653561499356143,0.0468656935676237
"70_7","cds_compbias","HA","H3N8",0.1,1,9,0.954106556751393,0.699458169430893,0.00655172139060425,0.046351881310026
"70_7","cds_compbias","HA","H3N8",0.1,3,3,0.957639365951709,0.710862569798215,0.00699493417805615,0.0482850760482229
"70_7","cds_compbias","HA","H3N8",0.1,3,9,0.954107828918912,0.69298306953171,0.00700735315828457,0.0478712828853225
"70_7","cds_compbias","HA","H3N8",0.1,9,3,0.955116657761494,0.684736963881343,0.00898859321041831,0.0664028757401321
"70_7","cds_compbias","HA","H3N8",0.1,9,9,0.950573747551077,0.659669740939703,0.00973504800416452,0.0728499476318467
