"focgene","featname","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD","fold"
"HA","cds_compbias","gini","5",12,0.968251305586327,0.615936581108909,0.0101704514112256,0.12349914069532,1
"HA","cds_compbias","gini","25",12,0.966846811204304,0.609597273300727,0.0106535466394475,0.123845984578219,1
"HA","cds_compbias","gini","45",12,0.9665659123279,0.614654926931684,0.0107066959291672,0.113177482114986,1
"HA","cds_compbias","gini","5",12,0.971060294350372,0.646142169053908,0.00607061278329832,0.106690118258756,2
"HA","cds_compbias","gini","25",12,0.969655799968349,0.640221208590574,0.00588543373864957,0.0807339107947178,2
"HA","cds_compbias","gini","45",12,0.967689507833518,0.624414396082099,0.00532752758412642,0.0799826122392883,2
"HA","cds_compbias","gini","5",12,0.9721704383605,0.634614306635146,0.0085196760590759,0.131348569819631,3
"HA","cds_compbias","gini","25",12,0.970764361449596,0.629986581123401,0.00879649215967597,0.12368904035551,3
"HA","cds_compbias","gini","45",12,0.96795299889223,0.615213935343023,0.00750345633788071,0.100699329109315,3
"HA","cds_compbias","gini","5",12,0.968248140528565,0.605381688731196,0.00795746375327326,0.0863407419625678,4
"HA","cds_compbias","gini","25",12,0.967407026428232,0.618852167546135,0.00785421929456858,0.0732230376426454,4
"HA","cds_compbias","gini","45",12,0.964595663870866,0.599245991988882,0.00919854220115003,0.0834780324389162,4
"HA","cds_compbias","gini","5",12,0.970488210159835,0.639536295256464,0.0056652692666055,0.0683125194500951,5
"HA","cds_compbias","gini","25",12,0.967960120272195,0.625921636310565,0.00818402906400554,0.0834489682874911,5
"HA","cds_compbias","gini","45",12,0.965148757714828,0.606886932653703,0.0080786013342053,0.080071782419402,5
"HA","nuc_2mer","gini","5",4,0.970500079126444,0.621885919581445,0.00818216643900874,0.104977201864399,1
"HA","nuc_2mer","gini","25",4,0.968813103339136,0.622250136173305,0.00949320459272997,0.101555603455785,1
"HA","nuc_2mer","gini","45",4,0.966566703592341,0.613014667941979,0.0101160297475242,0.109043351054866,1
"HA","nuc_2mer","gini","5",4,0.969374901091945,0.620244941972489,0.00765298324478753,0.0773396795335946,2
"HA","nuc_2mer","gini","25",4,0.967409400221554,0.610585579461386,0.00773468336638219,0.0691857307161865,2
"HA","nuc_2mer","gini","45",4,0.964037822440259,0.595901218623038,0.00768748274158066,0.0523224857736925,2
"HA","nuc_2mer","gini","5",4,0.971605475549929,0.617408796546525,0.00568920324988701,0.0934072430761856,3
"HA","nuc_2mer","gini","25",4,0.967950625098908,0.595847533556816,0.00797164635017193,0.112352594624301,3
"HA","nuc_2mer","gini","45",4,0.964858363665137,0.584059567509771,0.007163946642107,0.0913597367452223,3
"HA","nuc_2mer","gini","5",4,0.964874980218389,0.562286262893056,0.00680482455584195,0.0704218341734925,4
"HA","nuc_2mer","gini","25",4,0.963752967241652,0.579710711712538,0.00873290670054919,0.0738685875970167,4
"HA","nuc_2mer","gini","45",4,0.960663079601203,0.561059698411459,0.00713095973930625,0.0594227946936829,4
"HA","nuc_2mer","gini","5",4,0.969644722266181,0.621107762831095,0.00673215140425244,0.0920532525395526,5
"HA","nuc_2mer","gini","25",4,0.969363032125336,0.631942136087966,0.00731599795542895,0.0886241605032269,5
"HA","nuc_2mer","gini","45",4,0.964584586168698,0.597385254888388,0.00809090991813484,0.0811928110414316,5
"HA","nuc_3mer","gini","5",8,0.965161417945878,0.574174675413151,0.010351765543258,0.11511808385783,1
"HA","nuc_3mer","gini","25",8,0.964881310333914,0.584472014950119,0.012001745414348,0.123190286797691,1
"HA","nuc_3mer","gini","45",8,0.96347523342301,0.585293010973515,0.0112293871276386,0.109147483365751,1
"HA","nuc_3mer","gini","5",8,0.967409400221554,0.613399189501776,0.00676741584505582,0.0604454948566674,2
"HA","nuc_3mer","gini","25",8,0.965443108086723,0.616469282620003,0.00954443946359739,0.0562921068319875,2
"HA","nuc_3mer","gini","45",8,0.964880519069473,0.617747066335419,0.00928445806329375,0.0619212308178954,2
"HA","nuc_3mer","gini","5",8,0.971890330748536,0.62132052182409,0.00633461232068189,0.0996168368708641,3
"HA","nuc_3mer","gini","25",8,0.966266814369362,0.591752176645853,0.0087723921566988,0.0933564132885255,3
"HA","nuc_3mer","gini","45",8,0.963175344200032,0.575031911942624,0.00850869549576521,0.0879654450419272,3
"HA","nuc_3mer","gini","5",8,0.966281057129293,0.580363856136896,0.00738212283813211,0.0823680406505707,4
"HA","nuc_3mer","gini","25",8,0.963471277100807,0.584393153594269,0.0100047428096847,0.0902842112748224,4
"HA","nuc_3mer","gini","45",8,0.961503402437095,0.576378178361739,0.0113299021923134,0.101087874209515,4
"HA","nuc_3mer","gini","5",8,0.969640765943979,0.616987129246588,0.00761360677086919,0.105683648361651,5
"HA","nuc_3mer","gini","25",8,0.965987498021839,0.599657101095663,0.00733716139239469,0.0890433162907523,5
"HA","nuc_3mer","gini","45",8,0.963459408134199,0.594867249921584,0.00890016456346652,0.0726403056521963,5
"HA","nuc_4mer","gini","5",16,0.967127710080709,0.601118019376631,0.00878173717227679,0.118810454962372,1
"HA","nuc_4mer","gini","25",16,0.967690299097959,0.621438439682659,0.00974604911574915,0.114901845289917,1
"HA","nuc_4mer","gini","45",16,0.965723215698686,0.610984537918318,0.00988430265736725,0.10446477761696,1
"HA","nuc_4mer","gini","5",16,0.969375692356386,0.631237143436568,0.00741829255444612,0.0719074021872306,2
"HA","nuc_4mer","gini","25",16,0.965443108086723,0.612344632961101,0.00857683290768974,0.0618049417776354,2
"HA","nuc_4mer","gini","45",16,0.962634119322678,0.596854144278386,0.0100785598184087,0.063670968530562,2
"HA","nuc_4mer","gini","5",16,0.971892704541858,0.628207176339639,0.00856725070690386,0.119852585819526,3
"HA","nuc_4mer","gini","25",16,0.966549295774648,0.592630604371507,0.00881472000139113,0.104107355830403,3
"HA","nuc_4mer","gini","45",16,0.966549295774648,0.601678634301263,0.00901089611091695,0.102707991473964,3
"HA","nuc_4mer","gini","5",16,0.968809938281374,0.619530935135638,0.00789189556839501,0.0817508870987754,4
"HA","nuc_4mer","gini","25",16,0.965719259376484,0.606148598977825,0.00971905473788223,0.0788967200566272,4
"HA","nuc_4mer","gini","45",16,0.963188795695521,0.594364059204507,0.0112076572890437,0.0806675840439836,4
"HA","nuc_4mer","gini","5",16,0.971330906789049,0.648741195500787,0.00686221477555334,0.0854522930297283,5
"HA","nuc_4mer","gini","25",16,0.968800443108087,0.633978556486188,0.00707685277831773,0.0749223798972575,5
"HA","nuc_4mer","gini","45",16,0.964867067573983,0.605493407177648,0.00850910183038491,0.0778886224055509,5
"HA","nuc_5mer","gini","5",32,0.96543994302896,0.58546111186326,0.00973425940623537,0.124203882387742,1
"HA","nuc_5mer","gini","25",32,0.962911061876879,0.58040737780859,0.0097119794786005,0.104578797170689,1
"HA","nuc_5mer","gini","45",32,0.961225668618452,0.565342247126311,0.00988892672630999,0.109115848222499,1
"HA","nuc_5mer","gini","5",32,0.967690299097959,0.626315301393163,0.00849652475041385,0.0618918551008907,2
"HA","nuc_5mer","gini","25",32,0.964599620193069,0.607533086709602,0.00983003571113467,0.0594376161829062,2
"HA","nuc_5mer","gini","45",32,0.961508941288179,0.588795342321022,0.010421994531914,0.052250156605721,2
"HA","nuc_5mer","gini","5",32,0.96851717043836,0.604301873523609,0.00757087488038489,0.101777450404537,3
"HA","nuc_5mer","gini","25",32,0.963457034340877,0.570098240222356,0.00876676726477723,0.100651461259405,3
"HA","nuc_5mer","gini","45",32,0.960363190378224,0.550794256746707,0.00775768779707024,0.0914488014922308,3
"HA","nuc_5mer","gini","5",32,0.966842854882102,0.617162304182145,0.00972047759519926,0.0808727216660962,4
"HA","nuc_5mer","gini","25",32,0.962626997942712,0.589288651315241,0.0101043989193271,0.0756736401028401,4
"HA","nuc_5mer","gini","45",32,0.959536319037822,0.575223698354991,0.0127274500879851,0.0970412223942104,4
"HA","nuc_5mer","gini","5",32,0.969363823389777,0.631192715470923,0.00706943183441341,0.0819573552648188,5
"HA","nuc_5mer","gini","25",32,0.967958537743314,0.623427442734176,0.00890882490541397,0.0952836507103383,5
"HA","nuc_5mer","gini","45",32,0.96289840164583,0.592124303910794,0.00847290771858002,0.075485620131896,5
"HA","nuc_6mer","gini","5",64,0.963755341034974,0.587537246467099,0.0100315433802814,0.119087263524274,1
"HA","nuc_6mer","gini","25",64,0.960102073112834,0.565595390594391,0.00979855916011182,0.111067646403022,1
"HA","nuc_6mer","gini","45",64,0.958977686342776,0.563328982908655,0.0110134840224481,0.112978631417067,1
"HA","nuc_6mer","gini","5",64,0.967127710080709,0.630097518893073,0.00794301568704677,0.0523197483833282,2
"HA","nuc_6mer","gini","25",64,0.960665453394524,0.586196829681957,0.00825962375833231,0.0462311572565304,2
"HA","nuc_6mer","gini","45",64,0.959541066624466,0.582563740202632,0.00974137318623065,0.0484855046586288,2
"HA","nuc_6mer","gini","5",64,0.965985124228517,0.594065715540371,0.00753594057174989,0.0851357139664433,3
"HA","nuc_6mer","gini","25",64,0.960925779395474,0.561489361329579,0.00665986471705085,0.0814934849441666,3
"HA","nuc_6mer","gini","45",64,0.956707548662763,0.533431681982707,0.00817313911288757,0.0880635700153068,3
"HA","nuc_6mer","gini","5",64,0.965156670359234,0.609623387415525,0.0102834962716825,0.077931291678218,4
"HA","nuc_6mer","gini","25",64,0.959818009178668,0.58321500029141,0.0117829054448882,0.0848424712588593,4
"HA","nuc_6mer","gini","45",64,0.956445640132932,0.564745076283924,0.0131379162185715,0.0935680583070765,4
"HA","nuc_6mer","gini","5",64,0.969083715777813,0.640303520030123,0.00794572729159576,0.0838927437156047,5
"HA","nuc_6mer","gini","25",64,0.962337395157462,0.5992542686019,0.0111789389122033,0.0859049833632319,5
"HA","nuc_6mer","gini","45",64,0.960652001899035,0.595100515887457,0.010923561424315,0.0800100444513883,5
"HA","prot_2mer","gini","5",20,0.964036239911378,0.590632152353443,0.00813526096782026,0.0884600297546011,1
"HA","prot_2mer","gini","25",20,0.961225668618452,0.592054785724942,0.00970999585008969,0.061448981413402,1
"HA","prot_2mer","gini","45",20,0.959259376483621,0.580446972402056,0.0114825983255341,0.0644993265863592,1
"HA","prot_2mer","gini","5",20,0.967968032916601,0.648511779725798,0.00839786860222679,0.0797279489686437,2
