"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.007,0.882,0.713,0.87,0.894,0.769,0,0,0.945,0.964,0.858,0.671,0.988,0.671,0.964,0.792,0.231,0.223,0.333,0.911
"70_7","nuc_2mer","HA",0.005,0.799,0.545,0.783,0.814,0.769,0,0,0.818,0.914,0.764,0.539,0.967,0.539,0.914,0.678,0.231,0.212,0.393,0.839
"70_7","nuc_3mer","HA",0.018,0.939,0.834,0.929,0.947,0.769,0,0,0.961,0.929,0.942,0.827,0.978,0.827,0.929,0.875,0.231,0.215,0.26,0.935
"70_7","nuc_4mer","HA",0.002,0.788,0.509,0.772,0.803,0.769,0.01,0,0.84,0.85,0.769,0.526,0.944,0.526,0.85,0.649,0.231,0.197,0.374,0.809
"70_7","nuc_5mer","HA",0.003,0.847,0.631,0.833,0.861,0.769,0,0,0.909,0.906,0.829,0.615,0.967,0.615,0.906,0.733,0.231,0.21,0.341,0.868
"70_7","nuc_6mer","HA",0.011,0.762,0.471,0.745,0.778,0.769,0.802,0,0.834,0.864,0.731,0.492,0.947,0.492,0.864,0.627,0.231,0.2,0.407,0.798
"70_7","prot_2mer","HA",0.001,0.499,0.132,0.48,0.518,0.769,1,0,0.572,0.809,0.405,0.291,0.876,0.291,0.809,0.428,0.231,0.187,0.644,0.607
"70_7","prot_ctdc","HA",0.006,0.923,0.796,0.912,0.933,0.769,0,0,0.933,0.919,0.924,0.786,0.974,0.786,0.919,0.847,0.231,0.213,0.271,0.922
"70_7","prot_ctdd","HA",0.004,0.904,0.745,0.892,0.915,0.769,0,0,0.921,0.88,0.911,0.748,0.962,0.748,0.88,0.809,0.231,0.204,0.272,0.896
"70_7","prot_ctdt","HA",0.004,0.956,0.881,0.948,0.964,0.769,0,0,0.981,0.953,0.957,0.87,0.985,0.87,0.953,0.91,0.231,0.221,0.254,0.955
"70_7","prot_ctriad","HA",0.008,0.751,0.43,0.734,0.768,0.769,0.983,0,0.728,0.786,0.741,0.477,0.92,0.477,0.786,0.594,0.231,0.182,0.381,0.764
"70_7","prot_pseaac","HA",0.004,0.777,0.502,0.76,0.792,0.769,0.162,0,0.802,0.888,0.743,0.51,0.957,0.51,0.888,0.648,0.231,0.206,0.403,0.816
