"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"HA","cds_compbias",0.962,0.518,0.951,0.971,0.956,0.167,0.418,0.911,0.508,0.983,0.571,0.978,0.571,0.508,0.538,0.044,0.022,0.039,0.745
"HA","nuc_2mer",0.954,0.398,0.942,0.965,0.956,0.68,0.176,0.859,0.381,0.98,0.471,0.972,0.471,0.381,0.421,0.044,0.017,0.035,0.681
"HA","nuc_3mer",0.959,0.487,0.947,0.968,0.956,0.38,0.699,0.908,0.492,0.98,0.525,0.977,0.525,0.492,0.508,0.044,0.021,0.041,0.736
"HA","nuc_4mer",0.967,0.569,0.956,0.975,0.956,0.027,0.194,0.921,0.54,0.986,0.642,0.979,0.642,0.54,0.586,0.044,0.023,0.037,0.763
"HA","nuc_5mer",0.961,0.505,0.95,0.971,0.956,0.203,0.35,0.932,0.492,0.983,0.564,0.977,0.564,0.492,0.525,0.044,0.021,0.038,0.737
"HA","nuc_6mer",0.959,0.487,0.947,0.968,0.956,0.38,0.699,0.929,0.492,0.98,0.525,0.977,0.525,0.492,0.508,0.044,0.021,0.041,0.736
"HA","prot_2mer",0.954,0.505,0.942,0.965,0.956,0.68,0.11,0.929,0.587,0.971,0.481,0.981,0.481,0.587,0.529,0.044,0.026,0.053,0.779
"HA","prot_ctdc",0.951,0.432,0.939,0.961,0.956,0.863,0.635,0.914,0.476,0.973,0.441,0.976,0.441,0.476,0.458,0.044,0.021,0.047,0.724
"HA","prot_ctdd",0.958,0.505,0.946,0.968,0.956,0.431,0.798,0.935,0.54,0.977,0.515,0.979,0.515,0.54,0.527,0.044,0.023,0.046,0.758
"HA","prot_ctdt",0.948,0.417,0.935,0.959,0.956,0.943,0.356,0.907,0.476,0.97,0.417,0.976,0.417,0.476,0.444,0.044,0.021,0.05,0.723
"HA","prot_ctriad",0.955,0.495,0.943,0.965,0.956,0.633,0.321,0.909,0.556,0.973,0.486,0.98,0.486,0.556,0.519,0.044,0.024,0.05,0.764
"HA","prot_pseaac",0.943,0.358,0.93,0.955,0.956,0.992,0.44,0.878,0.413,0.967,0.366,0.973,0.366,0.413,0.388,0.044,0.018,0.049,0.69
"M1","cds_compbias",0.945,0.383,0.932,0.956,0.956,0.986,0.314,0.882,0.444,0.967,0.384,0.975,0.384,0.444,0.412,0.044,0.019,0.05,0.706
"M1","nuc_2mer",0.948,0.332,0.935,0.959,0.956,0.943,0.356,0.875,0.333,0.976,0.389,0.97,0.389,0.333,0.359,0.044,0.015,0.037,0.655
"M1","nuc_3mer",0.955,0.457,0.943,0.965,0.956,0.633,1,0.918,0.476,0.977,0.484,0.976,0.484,0.476,0.48,0.044,0.021,0.043,0.727
"M1","nuc_4mer",0.95,0.393,0.938,0.961,0.956,0.888,0.906,0.903,0.413,0.975,0.426,0.973,0.426,0.413,0.419,0.044,0.018,0.042,0.694
"M1","nuc_5mer",0.954,0.461,0.942,0.965,0.956,0.68,0.902,0.909,0.492,0.975,0.477,0.977,0.477,0.492,0.484,0.044,0.021,0.045,0.734
"M1","nuc_6mer",0.952,0.448,0.94,0.963,0.956,0.801,0.63,0.904,0.492,0.973,0.456,0.977,0.456,0.492,0.473,0.044,0.021,0.047,0.733
"M1","prot_2mer",0.835,0.214,0.815,0.854,0.956,1,0,0.83,0.698,0.841,0.167,0.984,0.167,0.698,0.269,0.044,0.03,0.182,0.77
"M1","prot_ctdc",0.833,0.182,0.813,0.852,0.956,1,0,0.831,0.603,0.843,0.149,0.979,0.149,0.603,0.239,0.044,0.026,0.176,0.723
"M1","prot_ctdd",0.846,0.215,0.826,0.864,0.956,1,0,0.817,0.651,0.855,0.169,0.982,0.169,0.651,0.269,0.044,0.028,0.167,0.753
"M1","prot_ctdt",0.842,0.21,0.823,0.861,0.956,1,0,0.832,0.651,0.851,0.166,0.982,0.166,0.651,0.265,0.044,0.028,0.171,0.751
