"cluster_set","featset","focgene","subtype","accuracy"
"60_6","cds_compbias","HA","H10N8",1
"60_6","cds_compbias","HA","H16N3",0.988679245283019
"60_6","cds_compbias","HA","H3N8",0
"60_6","cds_compbias","HA","H4N6",0.967788117394417
"60_6","cds_compbias","HA","H4N8",0.890756302521008
"60_6","cds_compbias","HA","H5N1",0.751824817518248
"60_6","cds_compbias","HA","H5N6",0.25
"60_6","cds_compbias","HA","H7N3",0
"60_6","cds_compbias","HA","H7N4",1
"60_6","cds_compbias","HA","H7N7",1
"60_6","cds_compbias","HA","H7N9",1
"60_6","cds_compbias","HA","H8N4",0.453947368421053
"60_6","cds_compbias","HA","H9N2",0.0769230769230769
"60_6","nuc_2mer","HA","H10N8",1
"60_6","nuc_2mer","HA","H16N3",0.456603773584906
"60_6","nuc_2mer","HA","H3N8",0
"60_6","nuc_2mer","HA","H4N6",0.858267716535433
"60_6","nuc_2mer","HA","H4N8",0.932773109243697
"60_6","nuc_2mer","HA","H5N1",0.868613138686131
"60_6","nuc_2mer","HA","H5N6",1
"60_6","nuc_2mer","HA","H7N3",0
"60_6","nuc_2mer","HA","H7N4",1
"60_6","nuc_2mer","HA","H7N7",1
"60_6","nuc_2mer","HA","H7N9",0.96875
"60_6","nuc_2mer","HA","H8N4",0.164473684210526
"60_6","nuc_2mer","HA","H9N2",0
"60_6","nuc_3mer","HA","H10N8",0
"60_6","nuc_3mer","HA","H16N3",0.750943396226415
"60_6","nuc_3mer","HA","H3N8",0
"60_6","nuc_3mer","HA","H4N6",0.982104509663565
"60_6","nuc_3mer","HA","H4N8",1
"60_6","nuc_3mer","HA","H5N1",1
"60_6","nuc_3mer","HA","H5N6",1
"60_6","nuc_3mer","HA","H7N3",0
"60_6","nuc_3mer","HA","H7N4",0
"60_6","nuc_3mer","HA","H7N7",0
"60_6","nuc_3mer","HA","H7N9",1
"60_6","nuc_3mer","HA","H8N4",0.960526315789474
"60_6","nuc_3mer","HA","H9N2",0
"60_6","nuc_4mer","HA","H10N8",0.5
"60_6","nuc_4mer","HA","H16N3",0.977358490566038
"60_6","nuc_4mer","HA","H3N8",0
"60_6","nuc_4mer","HA","H4N6",0.520400858983536
"60_6","nuc_4mer","HA","H4N8",0.953781512605042
"60_6","nuc_4mer","HA","H5N1",0.781021897810219
"60_6","nuc_4mer","HA","H5N6",0.666666666666667
"60_6","nuc_4mer","HA","H7N3",1
"60_6","nuc_4mer","HA","H7N4",1
"60_6","nuc_4mer","HA","H7N7",1
"60_6","nuc_4mer","HA","H7N9",0.732142857142857
"60_6","nuc_4mer","HA","H8N4",0.993421052631579
"60_6","nuc_4mer","HA","H9N2",0
"60_6","nuc_5mer","HA","H10N8",1
"60_6","nuc_5mer","HA","H16N3",0.479245283018868
"60_6","nuc_5mer","HA","H3N8",0
"60_6","nuc_5mer","HA","H4N6",0.947029348604152
"60_6","nuc_5mer","HA","H4N8",0.987394957983193
"60_6","nuc_5mer","HA","H5N1",0.941605839416058
"60_6","nuc_5mer","HA","H5N6",0.666666666666667
"60_6","nuc_5mer","HA","H7N3",0.5
"60_6","nuc_5mer","HA","H7N4",1
