"","param","s1","subtype"
"1","(Intercept)",3.90619540776174,"H10N8"
"2","rf_nuc_5mer_NS1",-2.7160043346602e-05,"H10N8"
"3","rf_prot_ctriad_NP",-0.0505558943771142,"H10N8"
"4","glmnet_nuc_5mer_PB2",-0.31616914999984,"H10N8"
"5","glmnet_prot_ctdd_HA",-0.348631618511042,"H10N8"
"6","glmnet_prot_pseaac_HA",-0.00602738239029678,"H10N8"
"7","xgb_cds_compbias_PB2",-0.00273268501779643,"H10N8"
"8","xgb_nuc_4mer_HA",-0.0637284743698812,"H10N8"
"9","xgb_nuc_5mer_PB1",-0.0156173372146612,"H10N8"
"10","xgb_nuc_6mer_NA",-0.227656512491185,"H10N8"
"11","xgb_nuc_6mer_PB2",-0.347804076395645,"H10N8"
"12","xgb_prot_ctdd_NA",-0.125952331008915,"H10N8"
"13","xgb_prot_ctdd_PB2",-0.0277901650571949,"H10N8"
"14","xgb_prot_ctriad_NA",-0.0342346859787619,"H10N8"
"15","svmlin_nuc_4mer_NP",-0.0968077291895032,"H10N8"
"16","svmlin_prot_pseaac_M1",-0.350419932930679,"H10N8"
"17","lambda",0.01,"H10N8"
"18","(Intercept)",3.90401987746703,"H16N3"
"19","rf_nuc_5mer_NS1",-0.0907677699730026,"H16N3"
"20","rf_prot_ctriad_PB2",-0.00287557052095145,"H16N3"
"21","glmnet_cds_compbias_NP",-0.114322938410439,"H16N3"
"22","glmnet_nuc_3mer_NP",-0.0134300275890196,"H16N3"
"23","glmnet_nuc_5mer_PB2",-0.301496899343164,"H16N3"
"24","glmnet_nuc_6mer_HA",-0.391153642280653,"H16N3"
"25","glmnet_prot_pseaac_HA",-0.0122864833037893,"H16N3"
"26","xgb_cds_compbias_PB2",-0.193239561186721,"H16N3"
"27","xgb_nuc_6mer_PB2",-0.353598906981846,"H16N3"
"28","xgb_prot_2mer_HA",-0.0455939251126899,"H16N3"
"29","xgb_prot_ctdd_PB2",-0.066978546150105,"H16N3"
"30","svmlin_nuc_4mer_NP",-0.0296402425761086,"H16N3"
"31","svmlin_prot_ctdc_M1",-0.275919127435947,"H16N3"
"32","svmlin_prot_pseaac_M1",-0.209383918171757,"H16N3"
"33","lambda",0.01,"H16N3"
"34","(Intercept)",3.88413507614372,"H3N8"
"35","rf_prot_ctdd_M1",-0.0876941238154745,"H3N8"
"36","glmnet_cds_compbias_NP",-0.0419937536886821,"H3N8"
"37","glmnet_nuc_3mer_NP",-0.0510826508786326,"H3N8"
"38","glmnet_nuc_5mer_PB2",-0.496857357656036,"H3N8"
"39","glmnet_nuc_6mer_HA",-0.274404269991242,"H3N8"
"40","glmnet_prot_pseaac_HA",-0.248461155770979,"H3N8"
"41","xgb_cds_compbias_PB2",-0.215382373205976,"H3N8"
"42","xgb_nuc_4mer_HA",-0.000509231372148831,"H3N8"
"43","xgb_nuc_5mer_PB1",-0.031779030241553,"H3N8"
"44","xgb_nuc_6mer_NA",-0.0744556818168809,"H3N8"
"45","xgb_nuc_6mer_PB2",-0.217770948793672,"H3N8"
