"","method","feattype","feat","focgene","mean","n"
"1","xgb","nuc","6mer","PB2",-0.302388610144687,13
"2","glmnet","nuc","5mer","PB2",-0.218178083891117,8
"3","xgb","prot","ctdd","PB2",-0.216158486938203,12
"4","xgb","cds","compbias","PB2",-0.177317830865827,10
"5","rf","prot","ctriad","HA",-0.134503761525095,4
"6","glmnet","nuc","6mer","HA",-0.125125120352577,8
"7","xgb","nuc","4mer","NA",-0.121292137612111,8
"8","glmnet","prot","ctdd","HA",-0.12055728744515,6
"9","glmnet","prot","pseaac","HA",-0.089448059048901,5
"10","rf","prot","ctdc","NP",0.0875419502809708,1
"11","xgb","nuc","6mer","NA",-0.0829709938669896,6
"12","rf","prot","2mer","NP",-0.0681253531537261,3
"13","rf","nuc","6mer","NS1",-0.0634835625022801,1
"14","svmlin","cds","compbias","HA",-0.0617223202273571,2
"15","glmnet","cds","compbias","NP",-0.0578732479832895,5
"16","svmlin","nuc","3mer","HA",0.0567497172555395,1
"17","xgb","nuc","5mer","PB1",-0.054056504457988,9
"18","glmnet","prot","2mer","M1",-0.0538340530495512,2
"19","xgb","prot","pseaac","PA",0.0525523360936104,1
"20","rf","prot","pseaac","PB1",0.0506647802243275,1
"21","xgb","nuc","5mer","NA",0.0488232999111203,5
"22","rf","prot","ctdc","NS1",-0.0454754048342377,5
"23","rf","cds","compbias","M1",0.042283522330931,1
"24","rf","nuc","2mer","PB2",0.0389306995890455,1
"25","rf","prot","ctdt","PB2",-0.0388047640157929,3
"26","rf","prot","2mer","PB2",-0.0373159294281859,2
"27","xgb","prot","ctdd","NA",-0.0364820556895392,2
"28","glmnet","nuc","3mer","NP",-0.0350458166817806,4
"29","xgb","nuc","5mer","NP",-0.0329783294135245,3
"30","rf","prot","2mer","PA",0.032968208723967,1
"31","glmnet","nuc","2mer","NS1",-0.0325079009256652,1
"32","xgb","nuc","4mer","M1",-0.0321057662697515,1
"33","rf","prot","ctdd","NP",-0.0315264195120812,1
"34","rf","prot","ctdd","NS1",-0.0315222216934819,2
"35","xgb","nuc","6mer","PA",0.0267227784592255,2
"36","rf","prot","ctdc","PB1",-0.0252336373368769,1
"37","svmlin","prot","ctdc","HA",-0.0249829877601196,2
"38","xgb","nuc","4mer","HA",-0.0233328935195595,5
"39","glmnet","nuc","6mer","PB1",-0.0221373023568398,3
"40","rf","prot","2mer","PB1",-0.0213728803576744,2
"41","xgb","nuc","6mer","NP",-0.0205080492809824,4
"42","rf","prot","ctriad","PA",0.0201350159984555,1
"43","rf","prot","ctdt","PB1",0.0158332927430286,1
"44","glmnet","nuc","2mer","HA",0.0129190887243644,1
"45","svmlin","nuc","4mer","NP",-0.012519959675168,4
"46","svmlin","prot","pseaac","M1",-0.0123889787279403,1
"47","glmnet","nuc","5mer","PA",-0.0117442314362266,1
"48","rf","cds","compbias","PB1",0.0108420431120139,1
"49","rf","cds","compbias","NS1",0.00990907613654385,1
"50","rf","prot","ctriad","M1",-0.00808315250678523,1
"51","glmnet","nuc","3mer","NS1",-0.00574736321058265,1
"52","glmnet","nuc","3mer","PB2",0.00447372336849486,1
"53","glmnet","nuc","4mer","PB2",-0.00341028082407317,3
"54","xgb","prot","pseaac","PB2",0.00309617301611888,1
"55","rf","nuc","4mer","NS1",-0.00169383564370368,1
"56","rf","nuc","2mer","M1",-0.00155548200377806,2
"57","xgb","cds","compbias","PA",-0.00108682942862732,1
"58","xgb","prot","2mer","HA",0.000800546092958376,4
"59","rf","prot","pseaac","NS1",-0.000676626690773575,1
"60","rf","prot","ctdt","NS1",-0.000163652131532558,2
"61","rf","nuc","2mer","PB1",8.93601821702931e-05,1
