"","param","s1","subtype"
"1","(Intercept)",1.83642139502253,"H10N8"
"2","rf_prot_2mer_NP",-0.312634345298852,"H10N8"
"3","rf_prot_ctdc_NS1",-0.437893100301371,"H10N8"
"4","rf_prot_ctriad_HA",-0.0693791824090935,"H10N8"
"5","glmnet_nuc_3mer_NP",-0.0581107978370406,"H10N8"
"6","glmnet_nuc_5mer_PB2",-0.114722691781,"H10N8"
"7","glmnet_nuc_6mer_HA",-0.158681637693655,"H10N8"
"8","glmnet_nuc_6mer_PB1",-0.0472532150649116,"H10N8"
"9","glmnet_prot_ctdd_HA",-0.291564110397916,"H10N8"
"10","glmnet_prot_pseaac_HA",-0.159105218473011,"H10N8"
"11","xgb_nuc_4mer_HA",-0.000633150506815536,"H10N8"
"12","xgb_nuc_5mer_PB1",-0.0185161886118661,"H10N8"
"13","xgb_nuc_6mer_NA",-0.115730110782606,"H10N8"
"14","xgb_nuc_6mer_NP",-0.0305776722228967,"H10N8"
"15","xgb_nuc_6mer_PB2",-0.335470581566503,"H10N8"
"16","xgb_prot_pseaac_PA",0.0272667375688137,"H10N8"
"17","svmlin_nuc_4mer_NP",-0.0955327959895497,"H10N8"
"18","svmlin_prot_ctdt_NP",0.0760543185690867,"H10N8"
"19","lambda",0.01,"H10N8"
"20","(Intercept)",2.07776066429004,"H16N3"
"21","rf_nuc_5mer_NS1",-0.160672703707432,"H16N3"
"22","rf_nuc_6mer_NS1",0,"H16N3"
"23","rf_prot_2mer_PB2",-0.251677845620142,"H16N3"
"24","rf_prot_ctdc_NS1",-0.47578840516503,"H16N3"
"25","rf_prot_ctdt_PB2",-0.169428468128876,"H16N3"
"26","glmnet_cds_compbias_NP",-0.180005531924064,"H16N3"
"27","glmnet_nuc_3mer_NP",-0.143519587471594,"H16N3"
"28","glmnet_nuc_6mer_HA",-0.250886277237584,"H16N3"
"29","glmnet_prot_ctdd_HA",-0.627923688862299,"H16N3"
"30","glmnet_prot_pseaac_HA",-0.145607251479598,"H16N3"
"31","xgb_cds_compbias_PB2",-0.294667428784869,"H16N3"
"32","xgb_nuc_4mer_HA",-0.103348375899885,"H16N3"
"33","xgb_nuc_6mer_PB2",-0.447912207290105,"H16N3"
"34","xgb_prot_pseaac_PA",0.624691091296135,"H16N3"
"35","lambda",0.001,"H16N3"
"36","(Intercept)",1.88023674938543,"H3N8"
"37","rf_prot_2mer_PB1",-0.11375756850836,"H3N8"
"38","rf_prot_2mer_PB2",-0.286826542418559,"H3N8"
"39","rf_prot_ctdd_NS1",-0.128379788510157,"H3N8"
"40","glmnet_nuc_3mer_NP",-0.204583695695917,"H3N8"
"41","glmnet_nuc_5mer_PB2",-0.57574112131649,"H3N8"
"42","glmnet_nuc_6mer_HA",-0.189609957292215,"H3N8"
