"","method","feattype","feat","focgene","mean","n"
"1","rf","prot","ctdd","PB2",-0.352834926124819,7
"2","svm","prot","2mer","PA",0.320604559069441,5
"3","glmnet","prot","ctdd","HA",-0.310240347721957,11
"4","glmnet","nuc","3mer","PB2",0.253162572815173,3
"5","rf","prot","2mer","PB2",-0.20356953107715,7
"6","xgb","nuc","6mer","PB2",-0.157547570239771,8
"7","rf","prot","2mer","NP",-0.156723838858755,5
"8","glmnet","prot","ctdt","PB1",-0.153085350552339,5
"9","glmnet","prot","pseaac","PA",0.131584925028943,4
"10","glmnet","nuc","6mer","HA",-0.129471047110758,10
"11","glmnet","nuc","4mer","PB2",-0.125818490104013,5
"12","glmnet","cds","compbias","NP",-0.120910737275174,6
"13","glmnet","nuc","2mer","HA",0.119558198034756,1
"14","svmlin","cds","compbias","HA",-0.113279936256549,2
"15","rf","nuc","6mer","NS1",-0.109324122875135,4
"16","rf","prot","ctriad","PA",0.106195040209018,1
"17","xgb","nuc","5mer","PB2",-0.100734965134801,5
"18","xgb","nuc","6mer","NA",-0.0931571234592768,4
"19","xgb","prot","ctdc","NS1",-0.0908605827100964,5
"20","glmnet","nuc","3mer","NP",-0.0900103103894716,4
"21","rf","prot","ctdt","NS1",-0.0897613996249789,5
"22","rf","prot","ctriad","PB2",-0.0852649084447316,3
"23","xgb","prot","ctdc","HA",0.0833243229393646,1
"24","glmnet","nuc","3mer","NS1",0.0813544404414946,1
"25","rf","prot","ctdd","NS1",-0.0709304653657514,6
"26","glmnet","nuc","5mer","NP",-0.0604759565550275,4
"27","glmnet","nuc","3mer","PB1",-0.0556481179615834,3
"28","xgb","nuc","6mer","NP",-0.0546768577841515,3
"29","glmnet","prot","ctdt","NA",-0.0540393024934641,6
"30","xgb","cds","compbias","PB2",-0.0525975054196561,3
"31","xgb","nuc","6mer","PB1",-0.0524950057938354,4
"32","xgb","nuc","5mer","PB1",-0.0515937472029406,3
"33","svm","prot","ctriad","PB1",0.0478545744721317,2
"34","glmnet","prot","ctriad","HA",-0.042242517403205,5
"35","svmlin","prot","ctdt","HA",-0.0405763252436451,2
"36","rf","nuc","4mer","NS1",-0.0374646060209678,1
"37","glmnet","prot","ctdd","PB1",-0.0364208183050562,2
"38","rf","cds","compbias","NS1",-0.0358330200251384,1
"39","glmnet","nuc","3mer","PA",-0.0354849836242074,1
"40","xgb","nuc","4mer","M1",-0.0348177136973924,2
"41","glmnet","prot","pseaac","PB1",-0.0344965452122158,2
"42","xgb","prot","2mer","HA",-0.0325308102717326,3
"43","glmnet","prot","pseaac","M1",-0.0317288009673367,1
"44","xgb","prot","pseaac","NP",0.031613678469347,1
"45","xgb","nuc","4mer","PB1",-0.0313705456500782,3
"46","xgb","nuc","4mer","HA",-0.0304547019629397,2
"47","xgb","cds","compbias","PA",-0.0286586471552971,1
"48","rf","prot","ctdd","NA",-0.0283646091454408,2
"49","rf","prot","ctdt","PB2",-0.0262451674027093,1
"50","rf","prot","ctdc","PB2",-0.0228123422388458,2
"51","glmnet","prot","ctdc","PA",0.020636684253853,1
"52","glmnet","prot","ctdt","NP",-0.0198778717703504,1
"53","xgb","nuc","4mer","NA",-0.0196468472255079,3
"54","rf","prot","2mer","PB1",-0.0185582901128698,1
"55","rf","prot","ctriad","NS1",-0.0180334053339892,1
"56","glmnet","prot","ctdc","M1",-0.0114326918895759,1
"57","svm","prot","ctdt","PA",-0.0114221490834332,1
"58","svmlin","nuc","4mer","NP",-0.00869723640857385,2
"59","rf","nuc","5mer","NS1",-0.00612982332953588,2
"60","rf","prot","ctriad","M1",-0.00387112783148314,1
"61","rf","prot","2mer","NS1",-3.03495924238175e-06,1
"62","rf","prot","ctriad","NP",0,1
