"","gid","title","subtype","label","src","date"
"1","A/Anhui/1-DEWH730/2013C","A/Anhui/1-DEWH730/2013","H7N9","zoon","NCBI",2013-06-15
"2","A/Anhui/1/2005H","A/Anhui/1/2005","H5N1","zoon","NCBI",2005-06-15
"3","A/Anhui/2/2005H","A/Anhui/2/2005","H5N1","zoon","NCBI",2005-06-15
"4","A/Anhui/DEWH72-01/2013C","A/Anhui/DEWH72-01/2013","H7N9","zoon","NCBI",2013-06-15
"5","A/Anhui/DEWH72-02/2013C","A/Anhui/DEWH72-02/2013","H7N9","zoon","NCBI",2013-06-15
"6","A/Anhui/DEWH72-03/2013C","A/Anhui/DEWH72-03/2013","H7N9","zoon","NCBI",2013-06-15
"7","A/Anhui/DEWH72-04/2013C","A/Anhui/DEWH72-04/2013","H7N9","zoon","NCBI",2013-06-15
"8","A/Anhui/DEWH72-05/2013C","A/Anhui/DEWH72-05/2013","H7N9","zoon","NCBI",2013-06-15
"9","A/Anhui/DEWH72-06/2013C","A/Anhui/DEWH72-06/2013","H7N9","zoon","NCBI",2013-06-15
"10","A/Anhui/DEWH72-07/2013C","A/Anhui/DEWH72-07/2013","H7N9","zoon","NCBI",2013-06-15
"11","A/Anhui/DEWH72-08/2013C","A/Anhui/DEWH72-08/2013","H7N9","zoon","NCBI",2013-06-15
"12","A/Anhui/DEWH72-09/2013C","A/Anhui/DEWH72-09/2013","H7N9","zoon","NCBI",2013-06-15
"13","A/Beijing/01/2003E","A/Beijing/01/2003","H5N1","zoon","NCBI",2003-06-15
"14","A/Beijing/1/2013K","A/Beijing/1/2013","H7N9","zoon","NCBI",2013-04-16
"15","A/Beijing/1/2016M","A/Beijing/1/2016","H9N2","zoon","NCBI",2016-12-12
"16","A/Beijing/1/2017M","A/Beijing/1/2017","H9N2","zoon","NCBI",2017-04-28
"17","A/Beijing/2/2013K","A/Beijing/2/2013","H7N9","zoon","NCBI",2013-04-16
"18","A/Beijing/3/2013K","A/Beijing/3/2013","H7N9","zoon","NCBI",2013-04-16
"19","A/Cambodia/W0112303/2012J","A/Cambodia/W0112303/2012","H5N1","zoon","NCBI",2012-01-10
"20","A/Cambodia/X0207301/2013K","A/Cambodia/X0207301/2013","H5N1","zoon","NCBI",2013-02-06
"21","A/Cambodia/X0817302/2013K","A/Cambodia/X0817302/2013","H5N1","zoon","NCBI",2013-08-16
"22","A/Cambodia/X0828324/2013K","A/Cambodia/X0828324/2013","H5N1","zoon","NCBI",2013-02-28
