"","seg","minseqid","C","nz","zoon","total"
"1",1,0.85,0.7,138,15,153
"2",1,0.85,0.8,138,15,153
"3",1,0.85,0.9,139,15,154
"4",1,0.85,0.95,425,26,451
"5",1,0.9,0.7,336,51,387
"6",1,0.9,0.8,336,51,387
"7",1,0.9,0.9,337,51,388
"8",1,0.9,0.95,338,51,389
"9",1,0.925,0.7,500,34,534
"10",1,0.925,0.8,500,34,534
"11",1,0.925,0.9,501,34,535
"12",1,0.925,0.95,501,34,535
"13",1,0.95,0.7,1026,74,1100
"14",1,0.95,0.8,1026,74,1100
"15",1,0.95,0.9,1029,74,1103
"16",1,0.95,0.95,1031,74,1105
"17",1,0.975,0.7,3529,239,3768
"18",1,0.975,0.8,3529,239,3768
"19",1,0.975,0.9,3531,239,3770
"20",1,0.975,0.95,3536,239,3775
"21",1,0.99,0.7,12303,371,12674
"22",1,0.99,0.8,12303,371,12674
"23",1,0.99,0.9,12305,372,12677
"24",1,0.99,0.95,12320,372,12692
"25",2,0.85,0.7,137,9,146
"26",2,0.85,0.8,138,9,147
"27",2,0.85,0.9,138,9,147
"28",2,0.85,0.95,141,9,150
"29",2,0.9,0.7,259,20,279
"30",2,0.9,0.8,260,20,280
"31",2,0.9,0.9,261,20,281
"32",2,0.9,0.95,264,20,284
"33",2,0.925,0.7,349,27,376
"34",2,0.925,0.8,350,27,377
"35",2,0.925,0.9,350,27,377
"36",2,0.925,0.95,352,28,380
"37",2,0.95,0.7,1078,59,1137
"38",2,0.95,0.8,1079,59,1138
"39",2,0.95,0.9,1080,59,1139
"40",2,0.95,0.95,1082,59,1141
"41",2,0.975,0.7,3895,157,4052
"42",2,0.975,0.8,3896,157,4053
"43",2,0.975,0.9,3896,157,4053
"44",2,0.975,0.95,3898,157,4055
"45",2,0.99,0.7,12195,294,12489
"46",2,0.99,0.8,12197,294,12491
"47",2,0.99,0.9,12197,294,12491
"48",2,0.99,0.95,12199,294,12493
"49",3,0.85,0.7,35,3,38
"50",3,0.85,0.8,35,3,38
"51",3,0.85,0.9,36,3,39
"52",3,0.85,0.95,36,4,40
"53",3,0.9,0.7,72,7,79
"54",3,0.9,0.8,72,7,79
"55",3,0.9,0.9,73,7,80
"56",3,0.9,0.95,73,8,81
"57",3,0.925,0.7,167,22,189
"58",3,0.925,0.8,167,22,189
"59",3,0.925,0.9,168,22,190
"60",3,0.925,0.95,168,23,191
"61",3,0.95,0.7,550,38,588
"62",3,0.95,0.8,550,38,588
"63",3,0.95,0.9,551,38,589
"64",3,0.95,0.95,551,39,590
"65",3,0.975,0.7,2170,75,2245
"66",3,0.975,0.8,2170,75,2245
"67",3,0.975,0.9,2171,75,2246
"68",3,0.975,0.95,2171,76,2247
"69",3,0.99,0.7,6480,155,6635
"70",3,0.99,0.8,6480,155,6635
"71",3,0.99,0.9,6480,155,6635
"72",3,0.99,0.95,6480,156,6636
"73",4,0.85,0.7,159,19,178
"74",4,0.85,0.8,164,19,183
"75",4,0.85,0.9,172,19,191
"76",4,0.85,0.95,183,20,203
"77",4,0.9,0.7,367,42,409
"78",4,0.9,0.8,371,42,413
"79",4,0.9,0.9,380,42,422
"80",4,0.9,0.95,391,43,434
"81",4,0.925,0.7,714,47,761
"82",4,0.925,0.8,719,47,766
"83",4,0.925,0.9,728,47,775
"84",4,0.925,0.95,739,48,787
"85",4,0.95,0.7,1424,76,1500
"86",4,0.95,0.8,1428,76,1504
"87",4,0.95,0.9,1437,76,1513
"88",4,0.95,0.95,1447,77,1524
"89",4,0.975,0.7,4178,145,4323
"90",4,0.975,0.8,4180,145,4325
"91",4,0.975,0.9,4187,145,4332
"92",4,0.975,0.95,4198,146,4344
"93",4,0.99,0.7,15734,388,16122
"94",4,0.99,0.8,15738,388,16126
"95",4,0.99,0.9,15743,388,16131
"96",4,0.99,0.95,15753,389,16142
"97",5,0.85,0.7,90,12,102
"98",5,0.85,0.8,90,12,102
"99",5,0.85,0.9,91,12,103
"100",5,0.85,0.95,92,12,104
"101",5,0.9,0.7,156,23,179
"102",5,0.9,0.8,156,23,179
"103",5,0.9,0.9,158,22,180
"104",5,0.9,0.95,160,34,194
"105",5,0.925,0.7,320,41,361
"106",5,0.925,0.8,320,41,361
"107",5,0.925,0.9,321,41,362
"108",5,0.925,0.95,326,35,361
"109",5,0.95,0.7,648,55,703
"110",5,0.95,0.8,649,55,704
"111",5,0.95,0.9,649,55,704
"112",5,0.95,0.95,676,63,739
"113",5,0.975,0.7,3890,154,4044
"114",5,0.975,0.8,3890,154,4044
"115",5,0.975,0.9,3891,154,4045
"116",5,0.975,0.95,3766,153,3919
"117",5,0.99,0.7,13892,320,14212
"118",5,0.99,0.8,13892,320,14212
"119",5,0.99,0.9,13893,320,14213
"120",5,0.99,0.95,13957,320,14277
"121",6,0.85,0.7,202,30,232
"122",6,0.85,0.8,203,30,233
"123",6,0.85,0.9,331,47,378
"124",6,0.85,0.95,357,59,416
"125",6,0.9,0.7,278,55,333
"126",6,0.9,0.8,278,55,333
"127",6,0.9,0.9,439,76,515
"128",6,0.9,0.95,470,76,546
"129",6,0.925,0.7,522,59,581
"130",6,0.925,0.8,522,59,581
"131",6,0.925,0.9,728,77,805
"132",6,0.925,0.95,724,79,803
"133",6,0.95,0.7,1191,139,1330
"134",6,0.95,0.8,1191,139,1330
"135",6,0.95,0.9,1377,156,1533
