"gid","1","2","3","4","5","6","7","8","code"
"A/Accipiter_gentilis_schvedowi/Tianjin/22/2017M",50,2,198,2,11,25,2,763,"50-2-198-2-11-25-2-763"
"A/African_Stonechat/Vietnam/8/2009A",257,219,145,2,500,28,78,672,"257-219-145-2-500-28-78-672"
"A/Alopochen_aegyptiacus/Belgium/1570_B6613/2017M",63,20,76,196,1043,109,6,22,"63-20-76-196-1043-109-6-22"
"A/Alopochen_aegyptiacus/Belgium/3237_B6659/2017M",63,20,76,196,1043,109,6,22,"63-20-76-196-1043-109-6-22"
"A/Alopochen_aegyptiacus/Belgium/3237_B6663/2017M",63,20,76,196,1043,109,6,22,"63-20-76-196-1043-109-6-22"
"A/Alopochen_aegyptiacus/Belgium/3237_B6668/2017M",63,20,76,196,1043,109,6,22,"63-20-76-196-1043-109-6-22"
"A/American_Black_Duck/Maine/A00090256/2007M",23,19,10,53,28,769,5,10,"23-19-10-53-28-769-5-10"
"A/American_Black_Duck/Ohio/17OS1914/2017M",26,13,12,15,15,10,1352,272,"26-13-12-15-15-10-1352-272"
"A/American_Black_Duck/Virginia/AH0041816S/2016M",126,1891,10,1099,57,153,3,853,"126-1891-10-1099-57-153-3-853"
"A/American_Green-Winged_Teal/Alaska/19TL00078/2019M",7,57,67,10,16,6,8,1971,"7-57-67-10-16-6-8-1971"
"A/American_Green-Winged_Teal/Alaska/19TL00145/2019M",104,95,67,85,16,15,8,1972,"104-95-67-85-16-15-8-1972"
"A/American_Green-winged_Teal/17OS4133/2017M",26,13,12,879,22,6,24,4,"26-13-12-879-22-6-24-4"
"A/American_Green-winged_Teal/Mississippi/18OS3627/2018M",56,264,4,26,15,750,8,4,"56-264-4-26-15-750-8-4"
"A/American_Green-winged_Teal/Mississippi/18OS3629/2018M",116,62,1590,880,308,30,8,4,"116-62-1590-880-308-30-8-4"
"A/American_Green-winged_Teal/Mississippi/18OS3667/2018M",86,4,12,881,1,30,22,4,"86-4-12-881-1-30-22-4"
"A/American_Green-winged_Teal/Mississippi/18OS3718/2018M",42,62,58,882,1602,751,15,24,"42-62-58-882-1602-751-15-24"
"A/American_Green-winged_Teal/Missouri/17OS3221/2017M",26,897,12,15,15,10,2035,4,"26-897-12-15-15-10-2035-4"
"A/American_Green-winged_Teal/North_Dakota/AH0003567S/2015M",133,1836,4,16,1,44,15,2,"133-1836-4-16-1-44-15-2"
"A/American_Green-winged_Teal/North_Dakota/AH0003568S/2015M",67,4,109,32,241,10,182,73,"67-4-109-32-241-10-182-73"
"A/American_Green-winged_Teal/Ohio/17OS2009/2017M",1223,217,1925,67,15,19,3,396,"1223-217-1925-67-15-19-3-396"
"A/American_Green-winged_Teal/Ohio/17OS2020/2017M",1532,13,12,67,15,6,131,4,"1532-13-12-67-15-6-131-4"
"A/American_Green-winged_Teal/Ohio/17OS2028/2017M",26,1469,58,152,22,19,3,1973,"26-1469-58-152-22-19-3-1973"
"A/American_Green-winged_Teal/Ohio/17OS2904/2017M",26,98,4,15,15,10,19,1295,"26-98-4-15-15-10-19-1295"
"A/American_Green-winged_Teal/Ohio/17OS2916/2017M",26,13,515,15,205,10,131,4,"26-13-515-15-205-10-131-4"
"A/American_Green-winged_Teal/Ohio/18OS01681/2018M",435,7,12,13,15,153,24,4,"435-7-12-13-15-153-24-4"
"A/American_Green-winged_Teal/Ohio/18OS01750/2018M",26,1470,12,629,15,6,15,4,"26-1470-12-629-15-6-15-4"
"A/American_Green-winged_Teal/Ohio/18OS2656/2018M",1533,13,58,16,16,41,132,211,"1533-13-58-16-16-41-132-211"
"A/American_Green-winged_Teal/Virginia/AH0102539S/2016M",15,13,4,20,865,2,15,4,"15-13-4-20-865-2-15-4"
"A/American_Green-winged_Teal/Virginia/AH0102543S/2016M",15,212,25,20,53,2,15,24,"15-212-25-20-53-2-15-24"
"A/American_Wigeon/California/D1516363/2015M",46,246,1299,16,1688,1021,15,4,"46-246-1299-16-1688-1021-15-4"
"A/American_Wigeon/California/D1717063/2017M",1295,70,58,16,15,41,52,1974,"1295-70-58-16-15-41-52-1974"
"A/American_Wigeon/Ohio/18OS1967/2018M",1642,13,58,16,16,41,132,4,"1642-13-58-16-16-41-132-4"
"A/American_Wigeon/Utah/D1615126/2016M",46,229,4,85,15,19,132,7,"46-229-4-85-15-19-132-7"
"A/American_black_duck/Alberta/118/2016M",459,82,204,26,15,17,15,4,"459-82-204-26-15-17-15-4"
"A/American_black_duck/Alberta/238/2016M",459,82,204,20,15,44,15,4,"459-82-204-20-15-44-15-4"
"A/American_black_duck/Alberta/307/2016M",478,9,4,103,15,23,823,7,"478-9-4-103-15-23-823-7"
"A/American_black_duck/Alberta/96/2016M",459,1679,265,85,1229,6,132,2277,"459-1679-265-85-1229-6-132-2277"
"A/American_black_duck/Delaware/A00870108/2010K",1643,32,9,30,83,16,356,1225,"1643-32-9-30-83-16-356-1225"
